Date,Time,Transaction,Item
10/30/2016,20:40:37,1,Spanish Brunch
10/30/2016,11:02:52,2,Lemon and coconut
10/30/2016,04:53:13,2,Tacos/Fajita
10/30/2016,03:42:26,3,Basket
10/30/2016,09:21:05,3,Olum & polenta
10/30/2016,13:51:25,3,Tshirt
10/30/2016,03:21:01,4,Spanish Brunch
10/30/2016,04:11:06,5,Juice
10/30/2016,15:59:54,5,Adjustment
10/30/2016,03:49:25,5,Keeping It Local
10/30/2016,00:53:56,6,Duck egg
10/30/2016,11:43:28,6,Duck egg
10/30/2016,17:08:15,6,Polenta
10/30/2016,02:59:46,7,Sandwich
10/30/2016,10:38:00,7,Nomad bag
10/30/2016,13:17:24,7,Cookies
10/30/2016,22:02:33,7,Polenta
10/30/2016,20:49:23,8,Art Tray
10/30/2016,01:46:06,8,Smoothies
10/30/2016,15:53:58,9,Polenta
10/30/2016,07:33:48,9,Mortimer
10/30/2016,06:39:20,10,Kids biscuit
10/30/2016,18:16:19,10,Valentine's card
10/30/2016,13:38:52,11,Polenta
10/30/2016,11:27:56,11,Nomad bag
10/30/2016,03:11:55,11,Pastry
10/30/2016,22:30:57,11,Baguette
10/30/2016,01:21:10,12,Pintxos
10/30/2016,14:14:48,12,Cake
10/30/2016,06:54:36,12,Bowl Nic Pitt
10/30/2016,11:58:40,12,Honey
10/30/2016,16:27:30,12,Cherry me Dried fruit
10/30/2016,00:11:50,13,Frittata
10/30/2016,14:26:59,13,Vegan Feast
10/30/2016,16:33:27,13,Dulce de Leche
10/30/2016,01:48:34,14,The Nomad
10/30/2016,00:33:20,14,Siblings
10/30/2016,17:20:58,14,Pastry
10/30/2016,04:42:35,15,Baguette
10/30/2016,02:57:41,15,My-5 Fruit Shoot
10/30/2016,19:14:41,15,Toast
10/30/2016,03:13:47,15,Eggs
10/30/2016,00:04:33,16,Pastry
10/30/2016,20:18:18,16,Tea
10/30/2016,08:06:22,16,Brioche and salami
10/30/2016,11:48:57,17,Coffee granules 
10/30/2016,00:36:39,18,Dulce de Leche
10/30/2016,01:45:06,19,Frittata
10/30/2016,14:36:26,19,Chocolates
10/30/2016,14:06:11,20,NONE
10/30/2016,08:04:35,20,Dulce de Leche
10/30/2016,19:27:52,21,The Nomad
10/30/2016,23:16:21,21,Bread Pudding
10/30/2016,19:25:59,21,Dulce de Leche
10/30/2016,12:36:58,21,Pastry
10/30/2016,07:07:27,22,Jam
10/30/2016,12:49:46,23,Scone
10/30/2016,19:18:44,23,Empanadas
10/30/2016,16:55:22,24,Olum & polenta
10/30/2016,23:16:29,25,Scone
10/30/2016,21:37:31,26,Scone
10/30/2016,09:52:34,27,Pick and Mix Bowls
10/30/2016,04:43:02,28,Eggs
10/30/2016,12:35:29,28,Smoothies
10/30/2016,06:11:11,29,Gingerbread syrup
10/30/2016,23:07:48,29,Basket
10/30/2016,11:50:27,29,Farm House
10/30/2016,14:30:57,30,Coke
10/30/2016,06:14:40,31,Focaccia
10/30/2016,13:37:50,32,Fudge
10/30/2016,13:51:25,32,Mineral water
10/30/2016,03:35:27,33,Alfajores
10/30/2016,01:52:56,34,Bread Pudding
10/30/2016,18:47:25,34,Jam
10/30/2016,10:56:35,35,Art Tray
10/30/2016,09:22:11,35,Tshirt
10/30/2016,23:52:03,36,Polenta
10/30/2016,00:50:55,36,Tartine
10/30/2016,09:04:17,37,Cookies
10/30/2016,04:56:30,37,Dulce de Leche
10/30/2016,15:04:39,37,Afternoon with the baker
10/30/2016,14:38:26,38,Spread
10/30/2016,07:23:56,38,Dulce de Leche
10/30/2016,17:45:23,39,Hearty & Seasonal
10/30/2016,10:05:35,40,Mighty Protein
10/30/2016,06:23:13,40,Cherry me Dried fruit
10/30/2016,14:45:08,40,Vegan mincepie
10/30/2016,18:09:18,40,Pastry
10/30/2016,09:06:21,40,Caramel bites
10/30/2016,16:08:33,41,Hack the stack
10/30/2016,08:11:13,42,Crepes
10/30/2016,20:26:48,42,Mighty Protein
10/30/2016,00:20:46,43,Spanish Brunch
10/30/2016,03:24:49,43,Soup
10/30/2016,20:44:54,44,Chicken Stew
10/30/2016,19:01:24,44,My-5 Fruit Shoot
10/30/2016,16:55:35,45,Coffee
10/30/2016,22:33:20,45,Honey
10/30/2016,00:51:59,45,The Nomad
10/30/2016,05:05:31,46,Spread
10/30/2016,03:16:17,47,Jam
10/30/2016,10:46:05,47,Hot chocolate
10/30/2016,04:04:39,47,Coke
10/30/2016,22:17:40,47,Spread
10/30/2016,12:19:09,47,Art Tray
10/30/2016,00:26:25,48,Scone
10/30/2016,22:02:57,49,Muffin
10/30/2016,17:41:35,49,Fairy Doors
10/30/2016,14:05:35,49,Raspberry shortbread sandwich
10/30/2016,18:10:45,50,Argentina Night
10/30/2016,16:08:46,50,Empanadas
10/30/2016,18:52:33,51,Crisps
10/30/2016,11:44:38,52,Tea
10/30/2016,18:12:41,54,Alfajores
10/30/2016,17:51:27,55,The Nomad
10/30/2016,15:38:15,55,Bare Popcorn
10/30/2016,21:32:03,55,Keeping It Local
10/30/2016,15:18:11,55,Pastry
10/30/2016,04:10:34,56,Muffin
10/30/2016,22:06:47,56,Bread
10/30/2016,14:17:28,57,Tacos/Fajita
10/30/2016,14:16:04,58,Hack the stack
10/30/2016,13:07:58,58,Coffee
10/30/2016,12:58:34,58,Muesli
10/30/2016,06:05:40,58,Juice
10/30/2016,17:18:44,59,Argentina Night
10/30/2016,05:50:27,59,Tacos/Fajita
10/30/2016,15:56:31,60,Focaccia
10/30/2016,00:23:28,60,Afternoon with the baker
10/30/2016,08:51:24,60,Cherry me Dried fruit
10/30/2016,15:09:02,60,Gingerbread syrup
10/30/2016,15:24:55,61,Cookies
10/30/2016,20:45:15,62,Empanadas
10/30/2016,19:34:26,62,Cookies
10/30/2016,01:18:56,62,Ella's Kitchen Pouches
10/30/2016,05:06:01,62,Mineral water
10/30/2016,18:20:18,62,Mineral water
10/30/2016,14:06:50,62,Jam
10/30/2016,19:36:18,63,Half slice Monster 
10/30/2016,18:05:14,64,Hot chocolate
10/30/2016,22:00:44,65,Farm House
10/30/2016,11:10:05,65,Pastry
10/30/2016,05:11:44,65,Keeping It Local
10/30/2016,16:49:45,65,Empanadas
10/30/2016,16:43:58,65,Extra Salami or Feta
10/30/2016,12:16:04,66,Honey
10/30/2016,13:34:13,66,Mighty Protein
10/30/2016,12:51:05,66,Pick and Mix Bowls
10/30/2016,17:14:36,67,Siblings
10/30/2016,19:13:55,67,Half slice Monster 
10/30/2016,15:57:12,67,The Nomad
10/30/2016,03:52:49,67,Olum & polenta
10/30/2016,16:37:48,68,Extra Salami or Feta
10/30/2016,05:53:13,68,Spread
10/30/2016,21:51:05,68,Dulce de Leche
