school,conf,rk,w,l,wl,ap_pre,ap_high,ap_final,ncaa_numeric,season,coaches,year
air-force,MWC,1,12,21,0.6688173735978786,30,30,30,0,2016-17,Dave Pilipovich (12-21),2016
air-force,MWC,2,14,18,0.7903788180411726,30,30,30,0,2015-16,Dave Pilipovich (14-18),2015
air-force,MWC,3,14,17,0.33457084210598564,30,30,30,0,2014-15,Dave Pilipovich (14-17),2014
air-force,MWC,4,12,18,0.04705452928195886,30,30,30,0,2013-14,Dave Pilipovich (12-18),2013
air-force,MWC,5,18,14,0.589824280544298,30,30,30,0,2012-13,Dave Pilipovich (18-14),2012
air-force,MWC,6,13,16,0.12286722288836738,30,30,30,0,2011-12,"Jeff Reynolds (11-10), Dave Pilipovich (2-6)",2011
air-force,MWC,7,16,16,0.28610638277630795,30,30,30,0,2010-11,Jeff Reynolds (16-16),2010
air-force,MWC,8,10,21,0.8829947098504142,30,30,30,0,2009-10,Jeff Reynolds (10-21),2009
air-force,MWC,9,10,21,0.42628516404973993,30,30,30,0,2008-09,Jeff Reynolds (10-21),2008
air-force,MWC,10,16,14,0.05204943594408662,30,30,30,0,2007-08,Jeff Reynolds (16-14),2007
air-force,MWC,11,26,9,0.7426034806863115,30,13,30,0,2006-07,Jeff Bzdelik (26-9),2006
air-force,MWC,12,24,7,0.06057379838444188,30,30,30,1,2005-06,Jeff Bzdelik (24-7),2005
air-force,MWC,13,18,12,0.9936003975171643,30,30,30,0,2004-05,Chris Mooney (18-12),2004
air-force,MWC,14,22,7,0.052585253030814516,30,25,30,1,2003-04,Joe Scott (22-7),2003
air-force,MWC,15,12,16,0.23904025756140335,30,30,30,0,2002-03,Joe Scott (12-16),2002
air-force,MWC,16,9,19,0.5665451358613138,30,30,30,0,2001-02,Joe Scott (9-19),2001
air-force,MWC,17,8,21,0.10512237044352257,30,30,30,0,2000-01,Joe Scott (8-21),2000
air-force,MWC,18,8,20,0.5491214358060426,30,30,30,0,1999-00,Reggie Minton (8-20),1999
air-force,WAC,19,10,16,0.9105700737035229,30,30,30,0,1998-99,Reggie Minton (10-16),1998
air-force,WAC,20,10,16,0.9439402447491747,30,30,30,0,1997-98,Reggie Minton (10-16),1997
air-force,WAC,21,7,19,0.29714637992374315,30,30,30,0,1996-97,Reggie Minton (7-19),1996
air-force,WAC,22,5,23,0.6022900908666788,30,30,30,0,1995-96,Reggie Minton (5-23),1995
air-force,WAC,23,8,20,0.05293195035676068,30,30,30,0,1994-95,Reggie Minton (8-20),1994
air-force,WAC,24,8,18,0.6137477431590564,30,30,30,0,1993-94,Reggie Minton (8-18),1993
air-force,WAC,25,9,19,0.5236013049492535,30,30,30,0,1992-93,Reggie Minton (9-19),1992
air-force,WAC,26,9,20,0.10675050224196869,30,30,30,0,1991-92,Reggie Minton (9-20),1991
air-force,WAC,27,9,20,0.6272464483579785,30,30,30,0,1990-91,Reggie Minton (9-20),1990
air-force,WAC,28,12,20,0.34738362145117485,30,30,30,0,1989-90,Reggie Minton (12-20),1989
air-force,WAC,29,14,14,0.6958067238299418,30,30,30,0,1988-89,Reggie Minton (14-14),1988
air-force,WAC,30,11,17,0.10516061602714322,30,30,30,0,1987-88,Reggie Minton (11-17),1987
air-force,WAC,31,12,15,0.4808706629274666,30,30,30,0,1986-87,Reggie Minton (12-15),1986
air-force,WAC,32,10,19,0.2713916301245254,30,30,30,0,1985-86,Reggie Minton (10-19),1985
air-force,WAC,33,8,20,0.2787105400988318,30,30,30,0,1984-85,Reggie Minton (8-20),1984
air-force,WAC,34,8,19,0.4259315247353579,30,30,30,0,1983-84,Hank Egan (8-19),1983
air-force,WAC,35,10,17,0.08527846148504903,30,30,30,0,1982-83,Hank Egan (10-17),1982
air-force,WAC,36,8,19,0.7394271719439075,30,30,30,0,1981-82,Hank Egan (8-19),1981
air-force,WAC,37,9,18,0.2796375148790202,30,30,30,0,1980-81,Hank Egan (9-18),1980
air-force,WAC,38,8,17,0.7891629633380748,30,30,30,0,1979-80,Hank Egan (8-17),1979
air-force,Ind,39,12,13,0.42977041886609324,30,30,30,0,1978-79,Hank Egan (12-13),1978
air-force,Ind,40,15,10,0.9679196332733239,30,30,30,0,1977-78,Hank Egan (15-10),1977
air-force,Ind,41,12,15,0.3689892753794566,30,30,30,0,1976-77,Hank Egan (12-15),1976
air-force,Ind,42,16,9,0.5120430722294859,30,30,30,0,1975-76,Hank Egan (16-9),1975
air-force,Ind,43,13,12,0.710134361789256,30,30,30,0,1974-75,Hank Egan (13-12),1974
air-force,Ind,44,11,13,0.8316012825521718,30,30,30,0,1973-74,Hank Egan (11-13),1973
air-force,Ind,45,14,10,0.8234439158358814,30,30,30,0,1972-73,Hank Egan (14-10),1972
air-force,Ind,46,12,13,0.25051316875065865,30,30,30,0,1971-72,Hank Egan (12-13),1971
air-force,Ind,47,12,14,0.785191113959081,30,30,30,0,1970-71,Bob Spear (12-14),1970
air-force,Ind,48,12,12,0.945620554176957,30,30,30,0,1969-70,Bob Spear (12-12),1969
air-force,Ind,49,11,13,0.017031049462374992,30,30,30,0,1968-69,Bob Spear (11-13),1968
air-force,Ind,50,9,15,0.16907948419801289,30,30,30,0,1967-68,Bob Spear (9-15),1967
air-force,Ind,51,6,18,0.09705122792155041,30,30,30,0,1966-67,Bob Spear (6-18),1966
air-force,Ind,52,14,12,0.5116779268079468,30,30,30,0,1965-66,Bob Spear (14-12),1965
air-force,Ind,53,9,14,0.20545870413159228,30,30,30,0,1964-65,Bob Spear (9-14),1964
air-force,Ind,54,11,12,0.639280725174679,30,30,30,0,1963-64,Bob Spear (11-12),1963
air-force,Ind,55,10,12,0.7446150572355984,30,30,30,0,1962-63,Bob Spear (10-12),1962
air-force,Ind,56,16,7,0.01573910794091471,30,30,30,1,1961-62,Bob Spear (16-7),1961
air-force,Ind,57,12,12,0.24280939689518455,30,30,30,0,1960-61,Bob Spear (12-12),1960
air-force,Ind,58,12,10,0.4357152423476036,30,30,30,1,1959-60,Bob Spear (12-10),1959
air-force,Ind,59,14,9,0.07543858025950179,30,30,30,0,1958-59-nm,Bob Spear (14-9),1958
air-force,Ind,60,17,6,0.9022227186701021,30,30,30,0,1957-58,Bob Spear (17-6),1957
akron,MAC,1,26,8,0.4718304160339317,30,30,30,0,2016-17,Keith Dambrot (26-8),2016
akron,MAC,2,26,9,0.1452402882084266,30,30,30,0,2015-16,Keith Dambrot (26-9),2015
akron,MAC,3,21,14,0.5502195839162775,30,30,30,0,2014-15,Keith Dambrot (21-14),2014
akron,MAC,4,21,13,0.7423676045742976,30,30,30,0,2013-14,Keith Dambrot (21-13),2013
akron,MAC,5,26,7,0.029398906808717484,30,30,30,2,2012-13,Keith Dambrot (26-7),2012
akron,MAC,6,22,12,0.2671840461631735,30,30,30,0,2011-12,Keith Dambrot (22-12),2011
akron,MAC,7,23,13,0.9259402649882009,30,30,30,2,2010-11,Keith Dambrot (23-13),2010
akron,MAC,8,24,11,0.7662671307463199,30,30,30,0,2009-10,Keith Dambrot (24-11),2009
akron,MAC,9,23,13,0.1696812569549364,30,30,30,1,2008-09,Keith Dambrot (23-13),2008
akron,MAC,10,24,11,0.9750490022178963,30,30,30,0,2007-08,Keith Dambrot (24-11),2007
akron,MAC,11,26,7,0.9943204268034235,30,30,30,0,2006-07,Keith Dambrot (26-7),2006
akron,MAC,12,23,10,0.9177779747707193,30,30,30,0,2005-06,Keith Dambrot (23-10),2005
akron,MAC,13,19,10,0.2263724446584835,30,30,30,0,2004-05,Keith Dambrot (19-10),2004
akron,MAC,14,13,15,0.5023247485001954,30,30,30,0,2003-04,Dan Hipsher (13-15),2003
akron,MAC,15,14,14,0.21294682043337188,30,30,30,0,2002-03,Dan Hipsher (14-14),2002
akron,MAC,16,10,21,0.52420129217879,30,30,30,0,2001-02,Dan Hipsher (10-21),2001
akron,MAC,17,12,16,0.2281258653475533,30,30,30,0,2000-01,Dan Hipsher (12-16),2000
akron,MAC,18,17,11,0.6139775046497917,30,30,30,0,1999-00,Dan Hipsher (17-11),1999
akron,MAC,19,18,9,0.7030938732077722,30,30,30,0,1998-99,Dan Hipsher (18-9),1998
akron,MAC,20,17,10,0.45803963642522194,30,30,30,0,1997-98,Dan Hipsher (17-10),1997
akron,MAC,21,8,18,0.8895514279809408,30,30,30,0,1996-97,Dan Hipsher (8-18),1996
akron,MAC,22,3,23,0.27089505486692567,30,30,30,0,1995-96,Dan Hipsher (3-23),1995
akron,MAC,23,8,18,0.9970554689429607,30,30,30,0,1994-95,Coleman Crawford (8-18),1994
akron,MAC,24,8,18,0.2645707854228825,30,30,30,0,1993-94,Coleman Crawford (8-18),1993
akron,MAC,25,8,18,0.08320781722134274,30,30,30,0,1992-93,Coleman Crawford (8-18),1992
akron,Mid-Cont,26,16,12,0.18466748261721155,30,30,30,0,1991-92,Coleman Crawford (16-12),1991
akron,Mid-Cont,27,15,13,0.15794713373662517,30,30,30,0,1990-91,Coleman Crawford (15-13),1990
akron,Ind,28,16,12,0.49660035198881747,30,30,30,0,1989-90,Coleman Crawford (16-12),1989
akron,Ind,29,21,8,0.3035666011188233,30,30,30,0,1988-89,Bob Huggins (21-8),1988
akron,Ind,30,21,7,0.6434304446049481,30,30,30,0,1987-88,Bob Huggins (21-7),1987
akron,OVC,31,21,9,0.689853093338237,30,30,30,0,1986-87,Bob Huggins (21-9),1986
akron,OVC,32,22,8,0.09411083717203705,30,30,30,1,1985-86,Bob Huggins (22-8),1985
akron,OVC,33,12,14,0.1942431773491361,30,30,30,0,1984-85,Bob Huggins (12-14),1984
